Module,logFC,p.value,q.value
M3.6,-0.743238536883484,0,0
M5.15,-1.00071933534142,0,0
M8.20,-0.19216446677404,0,0
M8.46,-0.778488085068078,0,0
M8.56,-0.197407116911205,0,0
M9.49,-0.395687030041452,0,0
M7.16,0.249739467669518,1.97523339647522e-12,1.0293578736468e-11
M8.50,-0.280033585876745,2.06012984449444e-12,1.0293578736468e-11
M8.15,-0.142498814686117,3.48943096639687e-12,1.54979368009001e-11
M7.29,0.446983359186307,7.22577727728202e-12,2.88832696772612e-11
M8.89,-0.322548417842572,3.67597063899439e-11,1.33579905810501e-10
M9.5,-0.0750779629129219,5.04445374360785e-11,1.68033039053551e-10
M9.24,0.134968962796761,9.63706613981855e-11,2.96321573692222e-10
M1.1,0.568947241588798,5.16123026077601e-10,1.47362500914532e-09
M4.15,-0.410295344114803,1.59287472101255e-09,4.24475027517071e-09
M7.22,0.254346262410688,3.04268436027768e-09,7.60148956543661e-09
M7.19,-0.115580908141511,4.91600871121989e-09,1.15591395420938e-08
M8.41,0.186672340377834,5.61910247328192e-09,1.18499176339295e-08
M8.39,0.240988020684366,5.83897660862601e-09,1.18499176339295e-08
M8.2,0.186297229726455,5.92902857146541e-09,1.18499176339295e-08
M7.17,-0.148888145968199,7.60289609047504e-09,1.42378851024205e-08
M8.106,-0.195531335850345,7.83621567634896e-09,1.42378851024205e-08
M7.18,-0.0991288145500593,8.35617619543427e-09,1.42653254338298e-08
M8.71,-0.183311964765153,8.56507442748011e-09,1.42653254338298e-08
M7.12,-0.146936768954204,1.15415264012597e-08,1.84537666602537e-08
M9.2,-0.0773895529947362,1.59002004895825e-08,2.44450560094612e-08
M3.1,0.53749634121668,2.55639579873407e-08,3.78465342041876e-08
M8.55,-0.116603117904129,6.33603847166597e-08,9.04527048687615e-08
M8.32,-0.242299535140184,6.67668347276162e-08,9.16948408066765e-08
M8.77,-0.215836964700548,6.88183683372756e-08,9.16948408066765e-08
M7.10,0.278001694640643,7.72616809953759e-08,9.96240615156476e-08
M4.4,0.334036561395047,8.02929272151444e-08,1.00297266514457e-07
M9.42,-0.114731648764092,1.54220221926238e-07,1.86805288925603e-07
M8.38,-0.136124455902825,1.61758232364306e-07,1.90173176027334e-07
M4.7,-0.211282324211933,1.94077356852063e-07,2.21650445584282e-07
M5.8,-0.161185522434512,3.27030783786597e-07,3.53135222080972e-07
M7.33,0.20362773146968,3.35136924644644e-07,3.53135222080972e-07
M8.18,0.204962452342731,3.35708895486026e-07,3.53135222080972e-07
M5.11,-0.171161252078362,4.00983625414852e-07,4.10982959557229e-07
M8.96,-0.191671874949006,4.26028003985834e-07,4.25735573385149e-07
M7.13,-0.13969887679533,5.52870436543174e-07,5.39015551038483e-07
M7.35,0.414955163502765,6.06727730285953e-07,5.75090679920862e-07
M9.22,0.205317203640282,6.18647127533046e-07,5.75090679920862e-07
M9.11,-0.0815782281510059,6.70602542385268e-07,6.09220211784746e-07
M9.35,-0.0994389277520561,7.88948145036272e-07,7.00805868275135e-07
M2.3,0.526331431851509,8.85684618077134e-07,7.69631890265033e-07
M8.84,-0.147413210168092,9.15039930271533e-07,7.78222839293479e-07
M7.25,-0.126877747035258,1.00093774979548e-06,8.33542245355523e-07
M6.13,0.285489740651873,1.07074933911436e-06,8.73481113677345e-07
M4.2,0.494990532876364,1.44062294351152e-06,1.15170726646988e-06
M4.14,0.194592982821823,2.09982332397062e-06,1.64578978878556e-06
M9.27,-0.11752687446909,2.56302517365192e-06,1.97020452555392e-06
M9.29,-0.189860790754511,3.67228239328554e-06,2.76963146847916e-06
M8.49,-0.16178882695294,4.34907809054863e-06,3.21932802409041e-06
M3.2,0.36763618039268,5.78697320970706e-06,4.20581888266678e-06
M8.16,-0.110413207521944,8.00874059492251e-06,5.71660235841751e-06
M9.34,0.149741438493789,8.44711368771417e-06,5.92373016853492e-06
M6.20,-0.187584114913226,9.71467363419798e-06,6.63713908285161e-06
M8.63,-0.153443466067342,9.79650458243775e-06,6.63713908285161e-06
M9.25,-0.0785371850976108,1.04466067685216e-05,6.95962406370139e-06
M7.1,0.151553887953742,1.08991213410763e-05,7.14205905364976e-06
M8.11,-0.111771973263332,1.2036463897136e-05,7.76013027590555e-06
M5.1,0.188301255503115,1.26778051561213e-05,8.0438748968278e-06
M5.5,-0.13328917757505,1.66508199157533e-05,1.0399619123984e-05
M8.33,-0.0901817444925866,1.74975665410138e-05,1.07603421580651e-05
M7.8,-0.0731760571419709,2.02275158596166e-05,1.22506857311169e-05
M6.9,-0.209346729333843,2.28453753934321e-05,1.36296680959887e-05
M4.3,-0.29045244693132,2.62024575250486e-05,1.54026305011706e-05
