Module,logFC,p.value,q.value
M7.18,-0.195178567899032,5.62592195052503e-11,3.08238507404435e-09
M8.20,-0.21039519972296,8.49211811981832e-11,3.08238507404435e-09
M8.83,-0.730069141960893,2.61817456603808e-10,6.33546078825305e-09
M9.5,-0.119470410025238,3.58216123430566e-10,6.36299358403286e-09
M7.29,0.690928632077493,4.38258781862337e-10,6.36299358403286e-09
M4.2,1.06314511739192,6.41475823105329e-10,7.76121840119705e-09
M7.35,0.830529485420506,1.19306224035686e-09,1.2372741036184e-08
M9.22,0.413532466813573,2.57195119397498e-09,2.33385353913584e-08
M7.12,-0.25739994864571,4.29009472391328e-09,3.46039148214288e-08
M7.10,0.489928764938214,4.77854160674502e-09,3.4689355744962e-08
M8.2,0.30488674338431,1.63087262611314e-08,1.02931555031236e-07
M9.11,-0.158683382099982,1.70148810596515e-08,1.02931555031236e-07
M8.48,0.537063995676527,3.90804096130894e-08,2.18231087624296e-07
M7.25,-0.25027983506357,4.92709304467098e-08,2.55483931352411e-07
M8.32,-0.397657359698955,6.68574167139724e-08,3.12931609763883e-07
M4.7,-0.383399319376379,6.89713226531552e-08,3.12931609763883e-07
M8.33,-0.178336712717196,7.68265284722958e-08,3.28067455592595e-07
M7.16,0.334588392527202,8.91784156538312e-08,3.59656662356895e-07
M7.13,-0.285309305405099,1.02656512623867e-07,3.92223642032929e-07
M4.15,-0.622834501061343,1.59816067490937e-07,5.80084560855198e-07
M3.6,-0.639474385941715,1.94623661631255e-07,6.72786404436908e-07
M5.1,0.356590692540173,2.28046126750794e-07,7.52490258263275e-07
M9.25,-0.160228478207387,2.94683076607072e-07,9.30096953322355e-07
M8.96,-0.339213437759871,4.46601358783383e-07,1.35085788074201e-06
M4.1,-0.57725639879218,5.24567592696812e-07,1.52321886741785e-06
M6.19,-0.196484574340425,7.51564049217279e-07,2.05447418545799e-06
M8.74,-0.247679907214892,7.64123560204055e-07,2.05447418545799e-06
M8.30,-0.216102684099999,8.08966079679507e-07,2.09736078143283e-06
M3.2,0.649332190370131,8.49668810673637e-07,2.1269267880777e-06
M8.50,-0.343726532412468,9.8947398252669e-07,2.39432988869821e-06
M9.48,0.1985068322372,1.03977572249946e-06,2.43488717128785e-06
M8.94,-0.44984831186198,1.14158010333654e-06,2.58974661982345e-06
M7.5,-0.194296780833249,1.17797110954498e-06,2.59132307157268e-06
M8.56,-0.247786453305904,1.26856449100821e-06,2.70853527483188e-06
M7.1,0.280819756811824,1.49974228571836e-06,3.11063786859226e-06
M5.5,-0.264007108824277,1.58897854185547e-06,3.20417622768067e-06
M9.15,0.235879511963165,2.02579397769573e-06,3.97460902224069e-06
M6.9,-0.409799181413752,2.70545742853123e-06,5.16207714852816e-06
M5.11,-0.282568409654701,2.77324498010323e-06,5.16207714852816e-06
M8.104,-0.335458483289117,3.05018866431084e-06,5.53563662165133e-06
M8.25,-0.251628033476001,3.42355660376548e-06,6.06170110988291e-06
M9.9,-0.124158814666845,3.76602096707757e-06,6.49741664419399e-06
M9.2,-0.113006155042887,3.84864904368065e-06,6.49741664419399e-06
M8.89,-0.395592525491419,4.23067333188421e-06,6.98003626173407e-06
M8.71,-0.288093719269135,4.35808040499808e-06,6.98811835632615e-06
M9.45,-0.275035866613572,4.42809797318589e-06,6.98811835632615e-06
M8.41,0.230159978400569,5.39192392363523e-06,8.32811589854017e-06
M6.15,-0.231494808262046,6.1665717443482e-06,9.32617184675222e-06
M5.8,-0.245664595284063,6.95876194534151e-06,1.03094800409705e-05
M8.16,-0.186612314936837,9.70298663749425e-06,1.40875766272097e-05
M8.5,-0.223994198634591,1.04369441125129e-05,1.48531984862929e-05
M8.19,0.155883934516113,1.06395305495278e-05,1.48531984862929e-05
M8.24,0.282137827039949,1.47000163182868e-05,1.99968386008968e-05
M7.6,-0.182354749759409,1.48749063022535e-05,1.99968386008968e-05
M8.63,-0.248932506644826,1.80205044777448e-05,2.37851074459356e-05
