Module,logFC,p.value,q.value
M7.29,0.579024658500322,1.39070033651063e-08,5.81968675969836e-07
M5.15,1.23109855978897,1.94182335366e-08,5.81968675969836e-07
M3.3,0.204400263366477,2.04453986462174e-08,5.81968675969836e-07
M8.41,0.258138633597897,4.50509273180108e-08,9.61765125352299e-07
M7.10,0.417797456710785,1.12457055414709e-07,1.9206223789216e-06
M4.2,0.825535582495187,1.23043213620785e-06,1.75118366134695e-05
M8.83,-0.53871000426738,1.64009213854399e-06,2.00076226759547e-05
M7.35,0.618832635987341,1.87551964458112e-06,2.00196698875733e-05
M9.11,-0.134720194899501,2.26928763003009e-06,2.1531402416352e-05
M8.19,0.157134449399532,3.30834036398215e-06,2.82511066856668e-05
M8.105,0.255013309675762,4.08467939834033e-06,3.06049892891279e-05
M5.13,0.231639345486034,4.30078959515593e-06,3.06049892891279e-05
M9.48,0.18026655643049,4.73680294692286e-06,3.1114816745114e-05
M8.21,-0.166814227128785,9.84189159614068e-06,6.00310338808293e-05
M1.2,-0.850452339902958,1.87654547196825e-05,0.000106829972123884
M9.24,0.153614974593676,2.24514465812895e-05,0.000119825604161103
M8.20,-0.138927465278355,2.63280863808113e-05,0.000126393365799808
M6.6,0.305374252694265,2.66422870169892e-05,0.000126393365799808
M9.22,0.277186029923717,3.08283069742265e-05,0.000135162311182536
M5.12,-0.286317216556391,3.16563124234115e-05,0.000135162311182536
M8.71,-0.253590256323228,4.36880278604779e-05,0.000169691099071175
M5.1,0.278481414044817,4.37176150713793e-05,0.000169691099071175
M9.15,0.189315314624994,4.60474295770934e-05,0.000170963278636226
M8.58,-0.140596300756145,4.89316843494958e-05,0.000174102178481602
M4.1,-0.460428007938358,5.17703892266574e-05,0.000176834379572765
M3.6,-0.463505455792767,7.23140367904218e-05,0.000237505974815259
M4.15,-0.462703105618002,7.73635064099665e-05,0.000244679544189664
M7.1,0.21979215735093,0.000159418395025601,0.000486189620131662
M8.108,-0.316883494187768,0.000181092753571477,0.000522748378018606
M6.19,-0.148950737448552,0.000183649041977096,0.000522748378018606
M6.16,0.0873216999563522,0.000227438470438475,0.000621431696210551
M3.4,-0.377271665873373,0.000232872442063936,0.000621431696210551
M7.12,-0.160193804985529,0.000246352904037295,0.000637483616572853
M8.25,-0.197465080477796,0.000299569390078469,0.000745175234569613
M7.18,-0.10844195892507,0.000305422604136796,0.000745175234569613
M8.31,0.135030920554845,0.000334998909086552,0.000794632225674035
M8.2,0.188634014938556,0.000352570795554517,0.000813710449350004
M9.46,0.236912118663791,0.000367792636674848,0.000826503534587088
M8.85,-0.351127658107549,0.000400552653507136,0.000877041790302889
M8.104,-0.249981244495241,0.000479032016573067,0.000967164179286423
M8.48,0.333718349840544,0.000482008174023936,0.000967164179286423
M6.9,-0.298715114901093,0.000483080718467477,0.000967164179286423
M8.100,-0.271369522455783,0.00048701616586877,0.000967164179286423
M8.56,-0.166438157847023,0.000505234261058973,0.000980540188520455
M7.22,0.242036848465866,0.00059447712423153,0.00112810082069456
M9.45,-0.203805405820086,0.000616795172237339,0.00114500772205044
M9.37,0.127960404213529,0.000692821108938386,0.00125877623458725
M5.2,0.162463525096021,0.000738847856690046,0.0013144348403932
M8.5,-0.17022037369334,0.000780949055487534,0.00136098050871084
M8.74,-0.162565328612112,0.000861369874517681,0.00147110935052206
M9.17,0.0927086562300751,0.000891396078075768,0.00149253946859963
M8.32,-0.228555775237954,0.000953665078310628,0.00155950374082207
M7.16,0.210959150021593,0.000967914528943047,0.00155950374082207
M8.33,-0.110059070135055,0.00102428963299106,0.00161977353502015
M7.26,0.11632088750988,0.00111836277501461,0.00173638207978786
M3.2,0.427475000559669,0.00114658898358805,0.00174841699506603
M8.67,0.201154885251373,0.00122691801645388,0.00183808660303006
M8.17,-0.132458761325926,0.0017941831794388,0.0026415818308776
M8.70,0.190526558510537,0.00184956819695646,0.0026769707080223
M9.9,-0.0778923571855684,0.00229260606967996,0.00326289778443351
M8.24,0.173785010733676,0.00360176680885065,0.00504209516291585
M6.13,0.28054287086758,0.00383894222801326,0.00528743654656221
M6.11,0.0835360040707961,0.00407702681589284,0.00552622165108282
M8.96,-0.18682427339392,0.00437956066773726,0.00584353775459132
M8.36,0.113767854071812,0.00486958139120347,0.0063974007072066
M4.7,-0.199767638823074,0.00520622284965122,0.00673603135276508
